title|description|rating|release_date|length_minutes|poster|amazon_link|where_to_watch|genres|keywords|imdb_id|cast_and_crew
28 Days Later...|Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.|R|2003-06-27|113|https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg|||['Drama', 'Horror', 'Sci-Fi']|['military', 'virus', 'laboratory', 'london england', 'epidemic']|tt0289043|[{'first_name': 'Danny', 'last_name': 'Boyle', 'role': 'director'}, {'first_name': 'Alex', 'last_name': 'Palmer', 'role': 'cast'}, {'first_name': 'Bindu De', 'last_name': 'Stoppani', 'role': 'cast'}, {'first_name': 'Jukka', 'last_name': 'Hiltunen', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Schneider', 'role': 'cast'}, {'first_name': 'Cillian', 'last_name': 'Murphy', 'role': 'cast'}, {'first_name': 'Toby', 'last_name': 'Sedgwick', 'role': 'cast'}, {'first_name': 'Naomie', 'last_name': 'Harris', 'role': 'cast'}, {'first_name': 'Noah', 'last_name': 'Huntley', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Dunne', 'role': 'cast'}, {'first_name': 'Emma', 'last_name': 'Hitching', 'role': 'cast'}, {'first_name': 'Alexander', 'last_name': 'Delamere', 'role': 'cast'}, {'first_name': 'Kim', 'last_name': 'McGarrity', 'role': 'cast'}, {'first_name': 'Brendan', 'last_name': 'Gleeson', 'role': 'cast'}, {'first_name': 'Megan', 'last_name': 'Burns', 'role': 'cast'}, {'first_name': 'Justin', 'last_name': 'Hackney', 'role': 'cast'}]
The Addams Family|Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.|PG-13|1991-11-22|99|https://m.media-amazon.com/images/M/MV5BMmJhZTlhNzUtNzAwZC00YjQ2LTkxOGEtNzBmOWVkMmUxNTBiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg|||['Comedy', 'Fantasy']|['uncle', 'graveyard', 'goth', 'husband wife relationship', 'cult film']|tt0101272|[{'first_name': 'Barry', 'last_name': 'Sonnenfeld', 'role': 'director'}, {'first_name': 'Anjelica', 'last_name': 'Huston', 'role': 'cast'}, {'first_name': 'Raul', 'last_name': 'Julia', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Lloyd', 'role': 'cast'}, {'first_name': 'Dan', 'last_name': 'Hedaya', 'role': 'cast'}, {'first_name': 'Elizabeth', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Judith', 'last_name': 'Malina', 'role': 'cast'}, {'first_name': 'Carel', 'last_name': 'Struycken', 'role': 'cast'}, {'first_name': 'Dana', 'last_name': 'Ivey', 'role': 'cast'}, {'first_name': 'Paul', 'last_name': 'Benedict', 'role': 'cast'}, {'first_name': 'Christina', 'last_name': 'Ricci', 'role': 'cast'}, {'first_name': 'Jimmy', 'last_name': 'Workman', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Hart', 'role': 'cast'}, {'first_name': 'John', 'last_name': 'Franklin', 'role': 'cast'}, {'first_name': 'Tony', 'last_name': 'Azito', 'role': 'cast'}, {'first_name': 'Douglas Brian', 'last_name': 'Martin', 'role': 'cast'}]
Addams Family Values|The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.|PG-13|1993-11-19|94|https://m.media-amazon.com/images/M/MV5BZWFhNjY0YjItNjM5NC00NzAwLWI3ZWUtMTlkNTA0ZWVkNjBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg|||['Comedy', 'Fantasy']|['eccentric family', 'summer camp', 'family relationships', 'brother brother relationship', 'husband wife relationship']|tt0106220|[{'first_name': 'Barry', 'last_name': 'Sonnenfeld', 'role': 'director'}, {'first_name': 'Anjelica', 'last_name': 'Huston', 'role': 'cast'}, {'first_name': 'Raul', 'last_name': 'Julia', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Lloyd', 'role': 'cast'}, {'first_name': 'Joan', 'last_name': 'Cusack', 'role': 'cast'}, {'first_name': 'Christina', 'last_name': 'Ricci', 'role': 'cast'}, {'first_name': 'Carol', 'last_name': 'Kane', 'role': 'cast'}, {'first_name': 'Jimmy', 'last_name': 'Workman', 'role': 'cast'}, {'first_name': 'Kaitlyn', 'last_name': 'Hooper', 'role': 'cast'}, {'first_name': 'Kristen', 'last_name': 'Hooper', 'role': 'cast'}, {'first_name': 'Carel', 'last_name': 'Struycken', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Krumholtz', 'role': 'cast'}, {'first_name': 'Christopher', 'last_name': 'Hart', 'role': 'cast'}, {'first_name': 'Dana', 'last_name': 'Ivey', 'role': 'cast'}, {'first_name': 'Peter', 'last_name': 'MacNicol', 'role': 'cast'}, {'first_name': 'Christine', 'last_name': 'Baranski', 'role': 'cast'}]
Alvin and the Chipmunks Meet Frankenstein|Get ready for a terribly funny adventure as Alvin and the Chipmunks come face to face with Dr. Frankenstein and his monster in the theme park of a world-famous studio.|G|1999-09-28|78|https://m.media-amazon.com/images/M/MV5BZTdlNWUzYjMtZGM2NS00MmE3LTlhYzItMGNmZWNhOGM0ZTk5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg|||['Animation', 'Comedy', 'Family']|['chipmunk', 'teddy bear', 'concert', 'castle', 'antidote']|tt0207957|[{'first_name': 'Kathi', 'last_name': 'Castillo', 'role': 'director'}, {'first_name': 'Ross Bagdasarian', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Janice', 'last_name': 'Karman', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Bell', 'role': 'cast'}, {'first_name': 'Jim', 'last_name': 'Meskimen', 'role': 'cast'}, {'first_name': 'Frank', 'last_name': 'Welker', 'role': 'cast'}, {'first_name': 'Dee Bradley', 'last_name': 'Baker', 'role': 'cast'}, {'first_name': 'Mary Kay', 'last_name': 'Bergman', 'role': 'cast'}, {'first_name': 'Susan', 'last_name': 'Boyd', 'role': 'cast'}, {'first_name': 'Kevin Michael', 'last_name': 'Richardson', 'role': 'cast'}]
Alvin and the Chipmunks Meet the Wolfman|When Alvin discovers that his neighbor is a werewolf, he begins an exhilarating race against time before the full moon arrives. But the real terror will come when Theodore starts acting weird too.|G|2000-08-29|77|https://m.media-amazon.com/images/M/MV5BMzM1N2I1NzktMjBlYi00OGFkLTg5N2YtMjJmZDExNGM3NTA5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg|||['Animation', 'Comedy', 'Family']|['werewolf horror', 'chipmunk', 'werewolf', 'neighbor', 'bully']|tt0252227|[{'first_name': 'Kathi', 'last_name': 'Castillo', 'role': 'director'}, {'first_name': 'Ross Bagdasarian', 'last_name': 'Jr.', 'role': 'cast'}, {'first_name': 'Janice', 'last_name': 'Karman', 'role': 'cast'}, {'first_name': 'Maurice', 'last_name': 'LaMarche', 'role': 'cast'}, {'first_name': 'Miriam', 'last_name': 'Flynn', 'role': 'cast'}, {'first_name': 'Rob', 'last_name': 'Paulsen', 'role': 'cast'}, {'first_name': 'April', 'last_name': 'Winchell', 'role': 'cast'}, {'first_name': 'Elizabeth', 'last_name': 'Daily', 'role': 'cast'}, {'first_name': 'Frank', 'last_name': 'Welker', 'role': 'cast'}]
American Psycho|A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.|R|2000-04-14|102|https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg|||['Crime', 'Drama', 'Horror']|['narcissism', 'materialism', 'serial murder', 'sociopath', 'business card']|tt0144084|[{'first_name': 'Mary', 'last_name': 'Harron', 'role': 'director'}, {'first_name': 'Christian', 'last_name': 'Bale', 'role': 'cast'}, {'first_name': 'Justin', 'last_name': 'Theroux', 'role': 'cast'}, {'first_name': 'Josh', 'last_name': 'Lucas', 'role': 'cast'}, {'first_name': 'Bill', 'last_name': 'Sage', 'role': 'cast'}, {'first_name': 'Chloë', 'last_name': 'Sevigny', 'role': 'cast'}, {'first_name': 'Reese', 'last_name': 'Witherspoon', 'role': 'cast'}, {'first_name': 'Samantha', 'last_name': 'Mathis', 'role': 'cast'}, {'first_name': 'Matt', 'last_name': 'Ross', 'role': 'cast'}, {'first_name': 'Jared', 'last_name': 'Leto', 'role': 'cast'}, {'first_name': 'Willem', 'last_name': 'Dafoe', 'role': 'cast'}, {'first_name': 'Cara', 'last_name': 'Seymour', 'role': 'cast'}, {'first_name': 'Guinevere', 'last_name': 'Turner', 'role': 'cast'}, {'first_name': 'Stephen', 'last_name': 'Bogaert', 'role': 'cast'}, {'first_name': 'Monika', 'last_name': 'Meier', 'role': 'cast'}, {'first_name': 'Reg E.', 'last_name': 'Cathey', 'role': 'cast'}]
The Amityville Horror|Newlyweds and their three children move into a large house where a mass murder was committed. They start to experience strange, inexplicable manifestations which have strong effects on everyone living in or visiting the house.|R|1979-07-27|117|https://m.media-amazon.com/images/M/MV5BMTc0NDMyNTU3M15BMl5BanBnXkFtZTcwMjM0MTgwNA@@._V1_.jpg|||['Horror']|['haunted house', 'priest', 'fear', 'nightmare', 'dog']|tt0078767|[{'first_name': 'Stuart', 'last_name': 'Rosenberg', 'role': 'director'}, {'first_name': 'James', 'last_name': 'Brolin', 'role': 'cast'}, {'first_name': 'Margot', 'last_name': 'Kidder', 'role': 'cast'}, {'first_name': 'Rod', 'last_name': 'Steiger', 'role': 'cast'}, {'first_name': 'Don', 'last_name': 'Stroud', 'role': 'cast'}, {'first_name': 'Murray', 'last_name': 'Hamilton', 'role': 'cast'}, {'first_name': 'John', 'last_name': 'Larch', 'role': 'cast'}, {'first_name': 'Natasha', 'last_name': 'Ryan', 'role': 'cast'}, {'first_name': 'K.C.', 'last_name': 'Martel', 'role': 'cast'}, {'first_name': 'Meeno', 'last_name': 'Peluce', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Sacks', 'role': 'cast'}, {'first_name': 'Helen', 'last_name': 'Shaver', 'role': 'cast'}, {'first_name': 'Amy', 'last_name': 'Wright', 'role': 'cast'}, {'first_name': 'Val', 'last_name': 'Avery', 'role': 'cast'}, {'first_name': 'Irene', 'last_name': 'Dailey', 'role': 'cast'}, {'first_name': 'Marc', 'last_name': 'Vahanian', 'role': 'cast'}]
The Amityville Horror|Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.|R|2005-04-15|90|https://m.media-amazon.com/images/M/MV5BNzhlMzJkNzgtNDljNS00ZWY1LTg2ZjMtMTUxM2ExNWFlZTAyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg|||['Horror']|['murder', 'basement', 'haunted house', 'priest', 'paranoia']|tt0384806|[{'first_name': 'Andrew', 'last_name': 'Douglas', 'role': 'director'}, {'first_name': 'Ryan', 'last_name': 'Reynolds', 'role': 'cast'}, {'first_name': 'Melissa', 'last_name': 'George', 'role': 'cast'}, {'first_name': 'Jesse', 'last_name': 'James', 'role': 'cast'}, {'first_name': 'Jimmy', 'last_name': 'Bennett', 'role': 'cast'}, {'first_name': 'Chloë Grace', 'last_name': 'Moretz', 'role': 'cast'}, {'first_name': 'Rachel', 'last_name': 'Nichols', 'role': 'cast'}, {'first_name': 'Philip Baker', 'last_name': 'Hall', 'role': 'cast'}, {'first_name': 'Isabel', 'last_name': 'Conner', 'role': 'cast'}, {'first_name': 'Brendan', 'last_name': 'Donaldson', 'role': 'cast'}, {'first_name': 'Annabel', 'last_name': 'Armour', 'role': 'cast'}, {'first_name': 'Rich', 'last_name': 'Komenich', 'role': 'cast'}, {'first_name': 'David', 'last_name': 'Gee', 'role': 'cast'}, {'first_name': 'Danny', 'last_name': 'McCarthy', 'role': 'cast'}, {'first_name': 'Nancy', 'last_name': 'Lollar', 'role': 'cast'}, {'first_name': 'José', 'last_name': 'Taitano', 'role': 'cast'}]
Annabelle Comes Home|While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.|R|2019-06-26|106|https://m.media-amazon.com/images/M/MV5BYmI4NDNiMmQtZTFkYi00ZDVmLThlYTAtMWJlMjU1M2I2ZmViXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['possessed doll', 'creepy doll', 'jump scare', 'teenage girl', 'babysitter']|tt8350360|[{'first_name': 'Gary', 'last_name': 'Dauberman', 'role': 'director'}, {'first_name': 'Vera', 'last_name': 'Farmiga', 'role': 'cast'}, {'first_name': 'Patrick', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Mckenna', 'last_name': 'Grace', 'role': 'cast'}, {'first_name': 'Madison', 'last_name': 'Iseman', 'role': 'cast'}, {'first_name': 'Katie', 'last_name': 'Sarife', 'role': 'cast'}, {'first_name': 'Michael', 'last_name': 'Cimino', 'role': 'cast'}, {'first_name': 'Samara', 'last_name': 'Lee', 'role': 'cast'}, {'first_name': 'Kenzie', 'last_name': 'Caplan', 'role': 'cast'}, {'first_name': 'Sade', 'last_name': 'Katarina', 'role': 'cast'}, {'first_name': 'Michael Patrick', 'last_name': 'McGill', 'role': 'cast'}, {'first_name': 'Brittany', 'last_name': 'Hoza', 'role': 'cast'}, {'first_name': 'Sheila', 'last_name': 'McKellan', 'role': 'cast'}, {'first_name': 'Eddie J.', 'last_name': 'Fernandez', 'role': 'cast'}, {'first_name': 'Steve', 'last_name': 'Coulter', 'role': 'cast'}, {'first_name': 'Luca', 'last_name': 'Luhan', 'role': 'cast'}]
Annabelle: Creation|Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, A...|R|2017-08-11|109|https://m.media-amazon.com/images/M/MV5BMjA1MzIwMjMxNF5BMl5BanBnXkFtZTgwMDQ3NTc2MjI@._V1_.jpg|||['Horror', 'Mystery', 'Thriller']|['possessed doll', 'evil doll', 'prequel', 'nun', 'loss of daughter']|tt5140878|[{'first_name': 'David F.', 'last_name': 'Sandberg', 'role': 'director'}, {'first_name': 'Anthony', 'last_name': 'LaPaglia', 'role': 'cast'}, {'first_name': 'Samara', 'last_name': 'Lee', 'role': 'cast'}, {'first_name': 'Miranda', 'last_name': 'Otto', 'role': 'cast'}, {'first_name': 'Brad', 'last_name': 'Greenquist', 'role': 'cast'}, {'first_name': 'Lulu', 'last_name': 'Wilson', 'role': 'cast'}, {'first_name': 'Talitha Eliana', 'last_name': 'Bateman', 'role': 'cast'}, {'first_name': 'Stephanie', 'last_name': 'Sigman', 'role': 'cast'}, {'first_name': 'Mark', 'last_name': 'Bramhall', 'role': 'cast'}, {'first_name': 'Grace Caroline', 'last_name': 'Currey', 'role': 'cast'}, {'first_name': 'Philippa', 'last_name': 'Coulthard', 'role': 'cast'}, {'first_name': 'Tayler', 'last_name': 'Buck', 'role': 'cast'}, {'first_name': 'Lou Lou', 'last_name': 'Safran', 'role': 'cast'}, {'first_name': 'Joseph', 'last_name': 'Bishara', 'role': 'cast'}, {'first_name': 'Alicia', 'last_name': 'Vela-Bailey', 'role': 'cast'}, {'first_name': 'Jessie', 'last_name': 'Giacomazzi', 'role': 'cast'}]
